Section,Check,File,Expected value,Failure symptom
Edge,Bot prerender has one source of truth,Edge worker | Pages worker,Only one layer owns bot HTML generation,Search bots see stale or inconsistent pages
Edge,Edge rate limit and backend monthly quota do not conflict,Edge worker | quota logic in backend,User sees one coherent limit behavior,Users are blocked inconsistently
Edge,Proxy headers preserve request context,Edge worker,Enough context reaches backend for auth logging,Backend logs or auth checks lose signal
Deployment,Secret names are standardized across CI runtime docs,Cloud Build config | deploy scripts | env docs,One canonical name per secret,Deploys fail or runtime envs are missing
Deployment,Build time and runtime Google credentials are separated,Cloud Build | backend runtime config,Build identity and runtime identity are distinct,Builds succeed but runtime secret access fails
Deployment,Cloudflare API token names are consistent,CI | Wrangler config | secret manager,Same variable name everywhere,Worker or Pages deploy breaks
Deployment,Pages rebuild hooks and GitHub integration do not race,Publish pipeline | Pages deploy hook,One clear deploy trigger order exists,Stale or conflicting frontend builds
Deployment,Vectorize indexes are created before filtered use,Infra setup | deployment scripts,Metadata indexes exist before query code depends on them,Retrieval filters fail in production
Deployment,Publish and reindex are separate deploy paths,Backend job handlers | admin actions,Delivery and retrieval updates are isolated,One action unexpectedly changes both layers
Deployment,Smoke tests validate auth content chat retrieval,CI pipeline | post deploy checks,Core user flows are tested after deployment,Broken build reaches production unnoticed
Deployment,Frontend build env vars are present,Cloud Build or Pages env config,Client build has required env values,UI deploys but cannot call APIs correctly
HiddenBugs,Legacy source labels are fully removed from active code,source_types.py | ingestion | editor forms,No old aliases leak into production paths,Mixed content buckets or broken filters
HiddenBugs,One page still routes by slug while embeddings filter by ID,Frontend routing | ingestion metadata,Routing and retrieval use the same key family,Page works but Ask AI is off-topic
HiddenBugs,Assamese UI writes localized labels but retrieval stays English only,Frontend localization | RAG ingestion,Both languages are represented in metadata and content,Assamese user sees English answers
HiddenBugs,One ingest path skips normalization,ingestion_v2.py | batch import scripts,Every path normalizes source type first,Bad source types appear only in some records
HiddenBugs,A query still uses snake_case against Vectorize,retrieval.py | query builders,Conversion helper is always applied,Filtered search returns broad or empty results
HiddenBugs,A URL param is read on one page but not propagated downstream,LibraryPage.jsx | ChatPage.jsx | InputBar.jsx,chapter and section survive through the chain,Ask AI loses source context after navigation
